"ID","SampleWeight","ID.1"
"E_001",79,"E_001"
"E_002",93,"E_002"
"E_004",97,"E_004"
"E_005",82,"E_005"
"E_006",99,"E_006"
"E_007",99,"E_007"
"E_008",81,"E_008"
"E_009",99,"E_009"
"E_010",88,"E_010"
"E_011",98,"E_011"
"E_012",100,"E_012"
"E_013",87,"E_013"
"E_014",88,"E_014"
"E_015",86,"E_015"
"E_016",79,"E_016"
"E_019",83,"E_019"
"E_020",80,"E_020"
"E_022",100,"E_022"
"E_023",100,"E_023"
"E_024",93,"E_024"
"E_025",100,"E_025"
"E_026",100,"E_026"
"E_027",92,"E_027"
"E_028",96,"E_028"
"E_029",96,"E_029"
"E_030",76,"E_030"
"E_031",93,"E_031"
"E_032",89,"E_032"
"E_033",97,"E_033"
"E_034",84,"E_034"
"E_035",81,"E_035"
"E_036",94,"E_036"
"E_037",97,"E_037"
"E_038",95,"E_038"
"E_039",85,"E_039"
"E_041",84,"E_041"
"E_042",96,"E_042"
"E_043",84,"E_043"
"E_044",79,"E_044"
"E_045",83,"E_045"
"E_046",91,"E_046"
"E_047",90,"E_047"
"E_048",77,"E_048"
"E_049",79,"E_049"
"E_050",87,"E_050"
"E_051",92,"E_051"
"E_052",79,"E_052"
"E_053",94,"E_053"
"E_054",85,"E_054"
"E_055",91,"E_055"
"E_056",98,"E_056"
"E_057",92,"E_057"
"E_058",93,"E_058"
"E_059",94,"E_059"
"E_060",97,"E_060"
"E_061",86,"E_061"
"E_062",96,"E_062"
"E_063",88,"E_063"
"E_064",99,"E_064"
"E_065",79,"E_065"
"E_067",94,"E_067"
"E_068",75,"E_068"
"E_069",87,"E_069"
"E_070",81,"E_070"
"E_071",99,"E_071"
"E_072",91,"E_072"
"E_073",85,"E_073"
"E_074",90,"E_074"
"E_076",96,"E_076"
"E_077",87,"E_077"
"E_078",91,"E_078"
"E_079",75,"E_079"
"E_080",92,"E_080"
"E_082",96,"E_082"
"E_083",94,"E_083"
"E_084",91,"E_084"
"E_085",86,"E_085"
"E_086",95,"E_086"
"E_087",93,"E_087"
"E_088",95,"E_088"
"E_089",96,"E_089"
"E_090",99,"E_090"
"E_091",75,"E_091"
"E_092",99,"E_092"
"E_093",92,"E_093"
"E_094",90,"E_094"
"E_095",84,"E_095"
"E_096",94,"E_096"
"E_097",100,"E_097"
"E_098",93,"E_098"
"E_099",99,"E_099"
"E_100",90,"E_100"
"E_101",77,"E_101"
"E_102",97,"E_102"
"E_103",84,"E_103"
"E_104",91,"E_104"
"E_105",94,"E_105"
"E_106",94,"E_106"
"E_107",76,"E_107"
"E_108",95,"E_108"
"E_109",91,"E_109"
"E_110",89,"E_110"
"E_112",79,"E_112"
"E_113",90,"E_113"
"E_114",98,"E_114"
"E_115",94,"E_115"
"E_116",93,"E_116"
"E_117",93,"E_117"
"E_118",92,"E_118"
"E_119",89,"E_119"
"E_120",87,"E_120"
"E_121",85,"E_121"
"E_122",79,"E_122"
"E_123",83,"E_123"
"E_124",98,"E_124"
"E_125",94,"E_125"
"E_126",81,"E_126"
"E_127",100,"E_127"
"E_128",89,"E_128"
"E_130",92,"E_130"
"E_131",93,"E_131"
"E_132",88,"E_132"
"E_133",97,"E_133"
"E_134",85,"E_134"
"E_135",97,"E_135"
"E_136",92,"E_136"
"E_137",84,"E_137"
"E_138",86,"E_138"
"E_139",100,"E_139"
"E_140",99,"E_140"
"E_141",93,"E_141"
"E_143",100,"E_143"
"E_144",84,"E_144"
"E_145",86,"E_145"
"E_146",97,"E_146"
"E_147",101,"E_147"
"E_148",99,"E_148"
"E_149",99,"E_149"
"E_150",75,"E_150"
"E_151",96,"E_151"
"E_152",100,"E_152"
"E_153",95,"E_153"
"E_154",96,"E_154"
"E_155",79,"E_155"
"E_156",93,"E_156"
"E_157",91,"E_157"
"E_158",97,"E_158"
"E_159",96,"E_159"
"E_160",89,"E_160"
"E_161",100,"E_161"
"E_162",77,"E_162"
"E_164",82,"E_164"
"E_165",91,"E_165"
"E_166",76,"E_166"
"E_167",86,"E_167"
"E_168",95,"E_168"
"E_169",94,"E_169"
"E_170",98,"E_170"
"E_172",80,"E_172"
"E_173",82,"E_173"
"E_174",91,"E_174"
"E_175",86,"E_175"
"E_176",89,"E_176"
"E_177",91,"E_177"
"E_178",90,"E_178"
"E_179",93,"E_179"
"E_180",78,"E_180"
"E_181",89,"E_181"
"E_182",79,"E_182"
"E_183",91,"E_183"
"E_184",85,"E_184"
"E_185",92,"E_185"
"E_186",78,"E_186"
"E_187",98,"E_187"
"E_188",94,"E_188"
"E_189",75,"E_189"
"E_190",84,"E_190"
"E_191",73,"E_191"
"E_192",77,"E_192"
"E_193",92,"E_193"
"E_194",90,"E_194"
"E_195",89,"E_195"
"E_196",75,"E_196"
"E_197",79,"E_197"
"E_198",91,"E_198"
"E_199",79,"E_199"
"E_200",99,"E_200"
"E_201",91,"E_201"
"E_202",77,"E_202"
"E_203",93,"E_203"
"E_204",81,"E_204"
"E_205",80,"E_205"
"E_206",75,"E_206"
"E_207",94,"E_207"
"E_208",84,"E_208"
"E_209",81,"E_209"
"E_210",88,"E_210"
"E_211",79,"E_211"
"E_212",78,"E_212"
"E_213",81,"E_213"
"E_214",101,"E_214"
"E_215",96,"E_215"
"E_217",80,"E_217"
"E_218",100,"E_218"
"E_219",92,"E_219"
"E_220",100,"E_220"
"E_221",93,"E_221"
"E_222",79,"E_222"
"E_223",97,"E_223"
"E_224",85,"E_224"
"E_225",90,"E_225"
"E_226",83,"E_226"
"E_227",80,"E_227"
"E_230",87,"E_230"
"E_231",78,"E_231"
"E_233",86,"E_233"
"E_234",78,"E_234"
